"Parameter","Value"
"B11_1",-0.0357489474117756
"B11_2",-0.0754384770989418
"log_B12_delta_1",-0.833084404468536
"log_B12_delta_2",0.039501816034317
"B21d_1",0.296870678663254
"B21d_2",0.218311220407486
"B22d_1",0.372596859931946
"B22d_2",0.178549453616142
"B31_1",0.0111786853522062
"B31_2",0.145733416080475
"B32_1",0.0735264346003532
"B32_2",0.0664524137973785
"Lmd1f1",0.899775266647339
"Lmd1f2",0.749782264232635
"Lmd1f3",1.08591508865356
"Lmd1f4",1.39240801334381
"Lmd2f_1",0.561034560203552
"Lmd2f_2",1.87440478801727
"log_Qd_1",-1.44808304309845
"log_Qd_2",-1.44955277442932
"log_R1d_1",-1.26228678226471
"log_R1d_2",-0.793075621128082
"log_R1d_3",-0.66118311882019
"log_R1d_4",-1.23242330551147
"log_R1d_5",-1.44295036792755
"log_R1d_6",-0.771381616592407
"log_R2d_1",-0.725400924682617
"log_R2d_2",2.410240650177
"log_R2d_3",0.278950840234756
"gamma1",3.96464514732361
"gamma2_1",0.527537167072296
"gamma2_2",-1.37629508972168
"gamma3",-1.51063179969788
"gamma4_1",1.21675789356232
"gamma4_2",5.25440406799316
"logit_tP_SB",-1.10553133487701
